domain,outlook_server,mail_server_1,mail_server_2,mail_server_3,mail_server_4,mail_server_5
daveo.fr,OUI,daveo-fr.mail.protection.outlook.com (priorité 0),,,,
naturalia-environnement.fr,OUI,naturaliaenvironnement-fr02c.mail.protection.outlook.com (priorité 0),,,,
baywa-re.fr,OUI,bayware-fr01c.mail.protection.outlook.com (priorité 10),,,,
serige.setec.fr,Erreur,,,,,
ecofac.fr,OUI,ecofac-fr.mail.eo.outlook.com (priorité 0),,,,
pharea.com,OUI,pharea-com.mail.protection.outlook.com (priorité 1),,,,
segulatechnologies.com,NON DÉFINI,aucun trouvé,,,,
encis-environnement.fr,NON DÉFINI,mx4.mail.ovh.net (priorité 1),mx3.mail.ovh.net (priorité 10),,,
sogeclairaerospace.com,OUI,sogeclairaerospace-com.mail.protection.outlook.com (priorité 10),,,,
lecercledugrandgousier.fr,NON DÉFINI,mx3.ovh.net (priorité 1),mx4.ovh.net (priorité 5),mxb.ovh.net (priorité 100),,
sdis44.fr,NON DÉFINI,smtp1.sfrbusinessteam.fr (priorité 20),mail-hub.sdis44.fr (priorité 10),mail-hub2.sdis44.fr (priorité 15),,
adre-reseaux.fr,OUI,adrereseaux-fr01b.mail.protection.outlook.com (priorité 0),,,,
caretechnologyconsulting.com,NON DÉFINI,mx1.mail.ovh.net (priorité 5),mx3.mail.ovh.net (priorité 100),mx0.mail.ovh.net (priorité 1),mx2.mail.ovh.net (priorité 50),
le144-coworking.fr,OUI,le144coworking-fr01c.mail.protection.outlook.com (priorité 10),,,,
pkf-arsilon.com,OUI,pkfarsilon-com0i.mail.protection.outlook.com (priorité 0),,,,
capten-group.com,OUI,captengroup-com01e.mail.protection.outlook.com (priorité 10),,,,
tplpaye.fr,OUI,tplpaye-fr.mail.protection.outlook.com (priorité 0),,,,
tplpaye.fr,OUI,tplpaye-fr.mail.protection.outlook.com (priorité 0),,,,
atsi-pi.com,OUI,atsipi-com01b.mail.protection.outlook.com (priorité 0),,,,
